id;Inhaltstyp;name;ProjektCode;types;address;comment;url;status;lat;lon
25;PraxisProjekte;Interkultureller Schulgarten Oberschöneweide;B019b;"Interkultureller Garten;#8;#Schulgarten (allg. Schulbildung);#16";"Kottmeierstraße 2,  12459 Berlin";;;Laufend;52.4626830736898;13.5243884834671
62;PraxisProjekte;Interkultureller Seniorengarten im MehrGenerationenHaus;B052;"Interkultureller Garten;#8;#Seniorengarten;#20";"Wassertorstrasse 48,  10969 Berlin";;;Abgebrochen;52.5002812986056;13.405461509787
64;PraxisProjekte;Interkultureller Garten der Künste im Pallaspark Schöneberg;B054;"Gemeinschaftsgarten (individuelle Nutzung);#4";"Pallasstr. 7,  10781 Berlin";;;Laufend;52.4947284411823;13.3584058846558
66;PraxisProjekte;TDZ – Interkultureller Garten Neukölln;B056;"Interkultureller Garten;#8";"Werbellinstraße 50,  12053 Berlin";;;Abgeschlossen;52.4789798020773;13.4311708657456
67;PraxisProjekte;IKG NaturFreundehaus Hermsdorfer Fließtal ;B057;"Interkultureller Garten;#8";"Seebadstraße 27,  13467 Berlin";;;Abgebrochen;52.6185141747672;13.3255654821396
268;PraxisProjekte;Interkultureller Bio-Garten;;"Interkultureller Garten;#8";Prinzenstr. 1   10969 Berlin;;;Abgeschlossen;52.4971037737071;13.4077215631599
322;PraxisProjekte;Mörchenpark;;;Holzmarktstraße 30, 10243 Berlin, Germany;;http://moerchenpark.de;Genehmigt, noch nicht begonnen;52.5112641;13.4277273
327;PraxisProjekte;Interkultureller Nachbarschaftsgarten;;"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Interkultureller Garten;#8";Senftenberger Ring 45  13435 Berlin;;;Laufend;52.6053446010196;13.3612015877662
328;PraxisProjekte;Bürgergarten im Stadtgarten Moabit;;"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Interkultureller Garten;#8";"Siemensstraße 27,    10551 Berlin  MItte";;;;52.5335859789991;13.3361509931847
346;PraxisProjekte;Krausnickpark;;"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5";Oranienburger Strasse 20 10178 Berlin;;;;52.5243160750683;13.3966729153442
349;PraxisProjekte;Gemeinschaftsgarten Bürgerstrasse;;"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Gemeinschaftsgarten (individuelle Nutzung);#4";"Bürgerstrasse 8,  12347 Berlin";;;Geplant (Fläche /Initiative existiert, Realisierung zu erwarten);52.462567960702;13.4438347631599
351;PraxisProjekte;RHIZOM  – Antirasistische Garteninitiative;;"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5";Karpfenteichstraße 13, 12435 Berlin, Germany;;;Geplant (Fläche /Initiative existiert, Realisierung zu erwarten);52.4823945;13.4653979
416;PraxisProjekte;MenschenskinderGarten;;"Gemeinschaftsgarten (gemeinschaftliche Nutzung);#5;#Interkultureller Garten;#8;#Jugend - / Kinder-Garten;#33;#Selbst-Ernte-/Krautgarten;#12;#Bildungs-/Lehrgarten;#22;#Fühlgarten;#32;#Heilgarten;#21";Fürstenwalder Straße  30, 10243 Berlin;;http://www.menschenskinder-berlin.eu/nachbarschaftsgarten/;;;
